"type";"nameDe";"nameFr";"address";"location";"zip";"descriptionDe";"descriptionFr";"coordinates";"offers";"hasWalkIn";"appointmentType";"externalLinkDe";"externalLinkFr";"vacTypes";"openingHoursDe";"openingHoursFr";"dateTimeRangeStart";"dateTimeRangeStop"
"Impftruck";"Impftruck - Frutigen";"Camion de vaccination - Frutigen";"untere Bahnhofstrasse 11,";"Frutigen";"3714";;;"46.587859252070515, 7.650777527065471";"1,2";"true";"2";;;"mRNA";"von 08:00 bis 14:00 und 15:00 bis 18:00";"de 08:00 à 14:00 et 15:00 à 18:00";"2022-02-23T08:00:00";"2022-02-23T18:00:00"
"mobile Einheit";"mobile Einheit - Grindelwald";"Equipe mobile - Grindelwald";"Dorfstrasse 170";"Grindelwald";"3818";"Kongress-Saal Grindelwald";"Salle de congrès";"46.624403909204204, 8.042690883225001";"1,2";"true";"2";;;"mRNA";"von 09:30 bis 12:30 und 13:30 bis 16:30";"de 09:30 à 12:30 et de 13:30 à 16:30";"2022-01-12T09:30:00";"2022-01-12T16:30:00"
"mobile Einheit";"mobile Einheit - Hasliberg";"Equipe mobile - Hasliberg";"Urseni 331c";"Hasliberg";"6085";"Hasliberg Congress, Hasliberg Goldern";"Hasliberg Congress, Hasliberg Goldern";"46.741239637281645, 8.199376012063588";"1,2";"false";"3";"https://www.hasliberg.ch/files/3016/4088/1603/07.0800_Coronavirus_Impfangebot_14.01.2022.pdf";"https://www.hasliberg.ch/files/3016/4088/1603/07.0800_Coronavirus_Impfangebot_14.01.2022.pdf";"mRNA";"von 09:30 bis 13:00 und 14:00 bis 16:00";" de 09:30 à 13:00 et 14:00 à 16:00";"2022-01-14T09:30:00";"2022-01-14T16:00:00"
"mobile Einheit";"mobile Einheit - Brienzwiler";"Equipe mobile - Brienzwiler";"Obermoosweg 2";"Brienzwiler";"3856";"Schulhaus Obermoos";"Ecole Obermoos";"46.750940690064816, 8.098841756244031";"1,2";"true";"2";;;"mRNA";"von 09:30 bis 12:30 und 13:30 bis 15:00";"de 09:30 à 12:30 et de 13:30 à 15:00";"2022-01-19T09:30:00";"2022-01-19T15:00:00"
"mobile Einheit";"mobile Einheit - Aeschi bei Spiez";"Equipe mobile - Aeschi bei Spiez";"Mülenenstrasse 2";"Aeschi bei Spiez";"3703";"Gemeindesaal";"Salle communale";"46.65827469873312, 7.6959938408979";"1,2";"true";"2";;;"mRNA";"von 09:30 bis 13:00";"de 09:30 à 13:00";"2022-01-26T09:30:00";"2022-01-26T13:00:00"
"mobile Einheit";"mobile Einheit - La Neuveville";"Equipe mobile - La Neuveville";"Place de la Gare 3";"La Neuveville";"2520";"Centre des Epancheurs";"Centre des Epancheurs";"47.06324103861694, 7.0946402139229106";"1,2";"true";"2";;;"mRNA";"von 10:00 bis 18:00";"de 10:00 à 18:00";"2022-01-10T10:00:00";"2022-01-10T18:00:00"
"mobile Einheit";"mobile Einheit - La Neuveville";"Equipe mobile - La Neuveville";"Place de la Gare 3";"La Neuveville";"2520";"Centre des Epancheurs";"Centre des Epancheurs";"47.06324103861694, 7.0946402139229106";"1,2";"true";"2";;;"mRNA";"von 10:00 bis 18:00";"de 10:00 à 18:00";"2022-01-11T10:00:00";"2022-01-11T18:00:00"
"mobile Einheit";"mobile Einheit - Tramelan";"Equipe mobile - Tramelan";"Grand Rue 132";"Tramelan";"2720";"Place du 16 Mars";"Place du 16 Mars,";"47.223303080468355, 7.099081856254218";"1,2";"true";"2";;;"mRNA";"von 10:00 bis 18:00";"de 10:00 à 18:00";"2022-01-10T10:00:00";"2022-01-10T18:00:00"
"mobile Einheit";"mobile Einheit - Tramelan";"Equipe mobile - Tramelan";"Grand Rue 132";"Tramelan";"2720";"Place du 16 Mars";"Place du 16 Mars,";"47.223303080468355, 7.099081856254218";"1,2";"true";"2";;;"mRNA";"von 10:00 bis 18:00";"de 10:00 à 18:00";"2022-01-11T10:00:00";"2022-01-11T18:00:00"
"mobile Einheit";"mobile Einheit - Romont";"Equipe mobile - Romont";"Rue principale 1";"Romont";"2538";"Schulhaus";"Ecole,";"47.1894553649587, 7.340351827417431";"1,2";"true";"2";;;"mRNA";"von 10:00 bis 18:00";"de 10:00 à 18:00";"2022-01-12T10:00:00";"2022-01-12T18:00:00"
"mobile Einheit";"mobile Einheit - Sauge";"Equipe mobile - Sauge";"Haut du Village 8";"Plagne";"2536";"Gemeindeverwalltung";"Administration communale";"47.18821483687147, 7.286169276504067";"1,2";"true";"2";;;"mRNA";"von 10:00 bis 18:00";"de 10:00 à 18:00";"2022-01-12T10:00:00";"2022-01-12T18:00:00"
"mobile Einheit";"mobile Einheit - Plateau de Diesse";"Equipe mobile - Plateau de Diesse";"Route de Lamboing 30";"Diesse";"2517";"Salle du Battoir";"Salle du Battoir";"47.11419361009612, 7.121964756251874";"1,2";"true";"2";;;"mRNA";"von 10:00 bis 18:00";"de 10:00 à 18:00";"2022-01-13T10:00:00";"2022-01-13T18:00:00"
"mobile Einheit";"mobile Einheit - Renan";"Equipe mobile - Renan";"Rue du Collège";"Renan";"2616";"Gemeindezentrum";"Centre communal";"47.12794895182343, 6.929373951965248";"1,2";"true";"2";;;"mRNA";"von 10:00 bis 18:00";"de 10:00 à 18:00";"2022-01-13T10:00:00";"2022-01-13T18:00:00"
"mobile Einheit";"mobile Einheit - Eschert";"Equipe mobile - Eschert";"Rue du Tilleul 1";"Eschert";"2743";"Gemeindehaus";"Bâtiment communal";"47.275635425984106, 7.399385083238974";"1,2";"true";"2";;;"mRNA";"von 10:00 bis 18:00";"de 10:00 à 18:00";"2022-01-17T10:00:00";"2022-01-17T18:00:00"
"mobile Einheit";"mobile Einheit - Belprahon";"Equipe mobile - Belprahon";"Grand Clos 5";"Belprahon";"2744";"Gemeindezentrum";"Centre communal";"47.28533883339188, 7.404670613275128";"1,2";"true";"2";;;"mRNA";"von 10:00 bis 18:00";"de 10:00 à 18:00";"2022-01-17T10:00:00";"2022-01-17T18:00:00"
"mobile Einheit";"mobile Einheit - Cormoret";"Equipe mobile - Cormoret";"Vieille Route 4";"Cormoret";"2612";"Mehrzweckhalle";"Halle polyvalente";"47.17552342488569, 7.055413585089217";"1,2";"true";"2";;;"mRNA";"von 10:00 bis 18:00";"de 10:00 à 18:00";"2022-01-18T10:00:00";"2022-01-18T18:00:00"
"mobile Einheit";"mobile Einheit - Cortébert";"Equipe mobile - Cortébert";"Grand Rue 21";"Cortébert";"2607";"Mehrzweckhalle";"Halle polyvalente";"47.19158058557178, 7.1100992850896025";"1,2";"true";"2";;;"mRNA";"von 10:00 bis 18:00";"de 10:00 à 18:00";"2022-01-18T10:00:00";"2022-01-18T18:00:00"
"mobile Einheit";"mobile Einheit - La Ferrière";"Equipe mobile - La Ferrière";"Rue des 3 Cantons 20";"La Ferrière";"2333";"Mehrzweckhalle";"Halle polyvalente";"47.142854936156965, 6.8933280850885215";"1,2";"true";"2";;;"mRNA";"von 10:00 bis 18:00";"de 10:00 à 18:00";"2022-01-19T10:00:00";"2022-01-19T18:00:00"
